Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
BEGIN AGAIN,81,83,R,"Comedy, Drama, Romance",English,John Carney,"Tobin Armbrust, Anthony Bregman, Judd Apatow",John Carney,2014-07-02,2014-10-28,$16.2M,1h 44m,Weinstein Co.,,,
THE CROODS: A NEW AGE,94,77,PG,"Kids & Family, Comedy, Adventure, Animation",English,Joel Crawford,Mark Swift,"Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan",2020-11-25,2020-12-17,$58.5M,1h 35m,Universal Pictures,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),
THE DEATH OF STALIN,78,95,R,Comedy,English,Armando Iannucci,"Nicolas Duval-Adassovsky, Kevin Loader, Laurent Zeitoun, Yann Zenou","Armando Iannucci, David Schneider, Ian Martin",2018-03-09,2018-06-11,$8.0M,1h 47m,IFC Films,,Flat (1.85:1),
TRAINSPOTTING,93,90,R,"Comedy, Drama",English,Danny Boyle,Andrew Macdonald,John Hodge,1996-07-19,2004-06-01,$16.6M,1h 34m,Miramax Films,"Dolby Stereo, Dolby A, Stereo, Surround, Dolby Digital, Dolby SR",Flat (1.85:1),
SURF'S UP,70,79,PG,"Kids & Family, Comedy, Adventure, Animation",English,"Ash Brannon, Chris Buck",Christopher Jenkins,"Don Rhymer, Ash Brannon, Chris Buck, Christopher Jenkins",2007-06-08,2007-10-09,,1h 25m,,"Dolby SRD, DTS, SDDS",Flat (1.85:1),
FIRST COW,64,96,PG-13,"Western, Drama",English,Kelly Reichardt,"Neil Kopp, Vincent Savino, Anish Savjani","Jonathan Raymond, Kelly Reichardt",2020-03-06,2020-07-10,$161.0K,2h 2m,A24,,,
TOTAL RECALL,79,83,R,"Sci-Fi, Action",English,Paul Verhoeven,"Buzz Feitshans, Ronald Shusett","Philip K. Dick, Jon Povill, Gary Goldman",1990-06-01,2002-05-21,$117.8M,1h 49m,"Artisan Entertainment, Live Video, TriStar Pictures, Image Entertainment Inc.","Surround, Magnetic Stereo 6 Track, Dolby SR, Stereo",35mm,
TRIANGLE,66,80,R,"Horror, Mystery & Thriller",English,Christopher Smith,"Julie Baines, Chris Brown, Jason Newmark",Christopher Smith,,2010-02-02,,1h 39m,,,,
GRAN TORINO,90,81,R,Drama,English,Clint Eastwood,"Clint Eastwood, Robert Lorenz, Bill Gerber",Nick Schenk,2009-01-09,2009-06-09,$148.1M,1h 57m,Warner Bros.,,,
SUSPIRIA,83,94,R,"Horror, Mystery & Thriller",Italian,Dario Argento,,"Thomas De Quincey, Dario Argento, Daria Nicolodi",1977-02-01,2007-09-25,,1h 32m,"Anchor Bay Entertainment, Joseph Brenner Associates Inc. [us], Fox Lorber",Dolby,Scope (2.35:1),
