Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
LORNA'S SILENCE,69,85,R,Drama,Albanian,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne",2009-07-31,2009-12-22,$337.7K,1h 35m,Sony Pictures Classics,,,
THE FORGIVENESS OF BLOOD,72,84,None,Drama,Albanian,Joshua Marston,Paul Mezey,"Joshua Marston, Andamion Murataj",2012-02-24,2012-10-16,$119.7K,1h 49m,IFC Films,,,
LORNA'S SILENCE,69,85,R,Drama,Albanian,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne",2009-07-31,2009-12-22,$337.7K,1h 35m,Sony Pictures Classics,,,
THE FORGIVENESS OF BLOOD,72,84,None,Drama,Albanian,Joshua Marston,Paul Mezey,"Joshua Marston, Andamion Murataj",2012-02-24,2012-10-16,$119.7K,1h 49m,IFC Films,,,
AJAMI,81,97,None,Drama,Arabic,"Scandar Copti, Yaron Shani","Moshe Danon, Thanassis Karathanos","Scandar Copti, Yaron Shani",2010-02-03,2010-08-17,$621.2K,2h 0m,Kino International,,,
LEMON TREE,83,91,None,Drama,Arabic,Eran Riklis,Eran Riklis,"Suha Arraf, Eran Riklis",2009-04-17,2009-09-08,$566.1K,1h 46m,IFC Films,,,
PARADISE NOW,87,89,PG-13,Drama,Arabic,Hany Abu-Assad,Bero Beyer,"Hany Abu-Assad, Bero Beyer",2005-10-28,2006-03-21,$1.5M,1h 30m,Warner Independent,,,
TEL AVIV ON FIRE,86,90,None,"Comedy, Drama",Arabic,Sameh Zoabi,"Amir Harel, Bernard Michaux, Miléna Poylo, Gilles Sacuto","Dan Kleinman, Sameh Zoabi",2019-08-09,2019-10-24,$504.4K,1h 37m,Cohen Media Group,Dolby Digital,Scope (2.35:1),
THE BAND'S VISIT,86,98,PG-13,"Comedy, Drama",Arabic,Eran Kolirin,"Ehud Bleiberg, Koby Gal-Raday, Guy Jacoel, Eilon Ratzkovsky, Yossi Uzrad",Eran Kolirin,2008-02-08,2008-07-29,$3.1M,1h 26m,Sony Pictures Classics,Dolby Digital,,
THE BATTLE OF ALGIERS,95,99,None,"War, History, Drama",Arabic,Gillo Pontecorvo,"Antonio Musu, Yacef Saadi",,1967-09-20,2004-10-19,$55.9K,2h 5m,"Rialto Pictures, Image Entertainment Inc., Criterion Collection, Rizzoli",Mono,,
THE TIME THAT REMAINS,68,86,None,"Drama, History",Arabic,Elia Suleiman,"Michael Gentile, Elia Suleiman",Elia Suleiman,2011-01-07,2012-04-24,$18.7K,1h 49m,IFC Films,,,
BAMAKO,70,84,None,Drama,Bambara,Abderrahmane Sissako,Abderrahmane Sissako,Abderrahmane Sissako,,2020-12-22,$112.4K,1h 58m,,,,
PATHER PANCHALI,93,98,None,Drama,Bangla,Satyajit Ray,,Satyajit Ray,,2015-11-17,,2h 6m,,,,
24 CITY,71,89,None,"Documentary, Drama",Chinese,ZhangKe Jia,Shozo Ichiyama,"ZhangKe Jia, Yongming Zhai",,2009-11-17,,1h 52m,,,,
ASHES OF TIME REDUX,76,78,R,Action,Chinese,Kar-Wai Wong,,Kar-Wai Wong,2008-10-10,2009-03-03,$173.5K,1h 33m,Sony Pictures Classics,,,
THE LITTLE CHINESE SEAMSTRESS,83,77,None,"Romance, Drama",Chinese,Sijie Dai,Lisa Fayolle,"Nadine Perront, Sijie Dai",2002-05-16,2005-12-27,$665.3K,1h 51m,,"Dolby Stereo, Dolby Digital, Dolby A, Dolby SR",Scope (2.35:1),
"CROUCHING TIGER, HIDDEN DRAGON",86,97,PG-13,"Adventure, Action",Chinese,Ang Lee,"Li-Kong Hsu, William Kong, Ang Lee","Wang Du-lu, Hui-Ling Wang, James Schamus, Kuo Jung Tsai",2000-12-22,2001-06-05,$128.1M,2h 0m,"Sony Pictures Classics, Columbia Tristar","Dolby SR, Dolby Digital, Surround",Scope (2.35:1),
DETECTIVE DEE AND THE MYSTERY OF THE PHANTOM FLAME,62,80,PG-13,"Mystery & Thriller, Action, History, Drama",Chinese,Hark Tsui,"Peggy Lee, Nansun Shi, Hark Tsui","Kuo-fu Chen, Jialu Zhang",2011-09-02,2011-12-13,,2h 3m,Indomina,,,
DRUG WAR,77,94,R,"Crime, Drama, Action",Chinese,Johnnie To,"Johnnie To, Ka-Fai Wai","Ryker Chan, Ka-Fai Wai, Nai-Hoi Yau, Xi Yu",2013-07-26,2013-10-15,$127.9K,1h 45m,Variance Films,,,
EAT DRINK MAN WOMAN,92,88,None,Drama,Chinese,Ang Lee,"Knog Hsu, Li-Kong Hsu","Ang Lee, Hui-Ling Wang",1994-08-03,2002-03-05,$7.3M,2h 3m,MGM/UA Home Entertainment Inc.,"Dolby, Surround, Stereo",,
EXILED,80,80,R,Mystery & Thriller,Chinese,Johnnie To,Johnnie To,"Kam-Yuen Szeto, Tin-Shing Yip",,2007-12-04,$49.4K,1h 50m,,,,
HERO,87,94,PG-13,"Action, History, Drama",Chinese,Yimou Zhang,"Yimou Zhang, William Kong","Yimou Zhang, Li Feng, Wang Bin",2004-08-27,2006-12-05,$53.6M,1h 33m,Miramax Films,"Surround, Dolby SRD",Scope (2.35:1),
HOUSE OF FLYING DAGGERS,82,87,PG-13,Action,Chinese,Yimou Zhang,"William Kong, Yimou Zhang",Feng Yi,2004-12-10,2005-04-19,$11.0M,1h 59m,Sony Pictures Classics,Surround,,
INFERNAL AFFAIRS,95,94,R,"Crime, Drama, Action, Mystery & Thriller",Chinese,"Andrew Lau Wai-Keung, Alan Mak",Andy Lau,"Felix Chong, Alan Mak",2004-09-24,2004-12-07,$89.6K,1h 40m,"Miramax Films, Universal Pictures","Surround, Dolby Digital",,
IP MAN 3,73,76,PG-13,Action,Chinese,Wilson Yip,Raymond Pak-Ming Wong,"Tai-lee Chan, Lai-yin Leung, Edmond Wong",2016-01-22,2016-04-19,$2.5M,1h 45m,Well Go USA,,,Ip Man
IRON MONKEY,86,91,PG-13,Action,Chinese,Woo-Ping Yuen,Hark Tsui,"Hark Tsui, Elsa Tang, Lau Tai Mok",2001-10-12,2002-03-26,$14.7M,1h 25m,Miramax Films,"Dolby SR, DTS, Dolby Stereo, SDDS, Dolby A, Dolby Digital",Flat (1.85:1),
FEARLESS,86,73,PG-13,"Action, Biography",Chinese,Ronnie Yu,William Kong,Chris Chow,2006-09-22,2006-12-19,$24.6M,1h 43m,Focus Features,"Dolby SR, DTS, Dolby SRD",Scope (2.35:1),
KUNG FU HUSTLE,89,90,R,"Action, Comedy, Fantasy",Chinese,Stephen Chow,"Stephen Chow, Po Chu Chui, Jeffrey Lau","Tsang Kan Cheong, Stephen Chow, Chan Man Keung",2005-04-22,2005-08-09,$17.1M,1h 39m,Sony Pictures Classics,"SDDS, Dolby SRD",Scope (2.35:1),
THE MOUSTACHE,66,86,None,Drama,Chinese,Emmanuel Carrère,Anne-Dominique Toussaint,"Jérôme Beaujour, Emmanuel Carrère",,2006-10-03,,1h 26m,,Dolby,,
LAST TRAIN HOME,87,100,None,Documentary,Chinese,Lixin Fan,"Mila Aung-Thwin, Daniel Cross",,2010-09-03,2011-02-22,$285.8K,1h 25m,,,,
