Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
LORNA'S SILENCE,69,85,R (Language|Brief Sexuality|Nudity),Drama,Albanian,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne","Jul 31, 2009  Limited","Dec 22, 2009",$337.7K,1h 35m,Sony Pictures Classics,,,
THE FORGIVENESS OF BLOOD,72,84,,Drama,Albanian,Joshua Marston,Paul Mezey,"Joshua Marston, Andamion Murataj","Feb 24, 2012  Limited","Oct 16, 2012",$119.7K,1h 49m,IFC Films,,,
LORNA'S SILENCE,69,85,R (Language|Brief Sexuality|Nudity),Drama,Albanian,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne","Jul 31, 2009  Limited","Dec 22, 2009",$337.7K,1h 35m,Sony Pictures Classics,,,
THE FORGIVENESS OF BLOOD,72,84,,Drama,Albanian,Joshua Marston,Paul Mezey,"Joshua Marston, Andamion Murataj","Feb 24, 2012  Limited","Oct 16, 2012",$119.7K,1h 49m,IFC Films,,,
AJAMI,81,97,,Drama,Arabic,"Scandar Copti, Yaron Shani","Moshe Danon, Thanassis Karathanos","Scandar Copti, Yaron Shani","Feb 3, 2010  Limited","Aug 17, 2010",$621.2K,2h 0m,Kino International,,,
LEMON TREE,83,91,,Drama,Arabic,Eran Riklis,Eran Riklis,"Suha Arraf, Eran Riklis","Apr 17, 2009  Limited","Sep 8, 2009",$566.1K,1h 46m,IFC Films,,,
PARADISE NOW,87,89,PG-13 (Mature Thematic Material|Brief Strong Language),Drama,Arabic,Hany Abu-Assad,Bero Beyer,"Hany Abu-Assad, Bero Beyer","Oct 28, 2005  Original","Mar 21, 2006",$1.5M,1h 30m,Warner Independent,,,
TEL AVIV ON FIRE,86,90,,"Comedy, Drama",Arabic,Sameh Zoabi,"Amir Harel, Bernard Michaux, Miléna Poylo, Gilles Sacuto","Dan Kleinman, Sameh Zoabi","Aug 9, 2019  Limited","Oct 24, 2019",$504.4K,1h 37m,Cohen Media Group,Dolby Digital,Scope (2.35:1),
THE BAND'S VISIT,86,98,PG-13 (Brief Strong Language),"Comedy, Drama",Arabic,Eran Kolirin,"Ehud Bleiberg, Koby Gal-Raday, Guy Jacoel, Eilon Ratzkovsky, Yossi Uzrad",Eran Kolirin,"Feb 8, 2008  Limited","Jul 29, 2008",$3.1M,1h 26m,Sony Pictures Classics,Dolby Digital,,
THE BATTLE OF ALGIERS,95,99,,"War, History, Drama",Arabic,Gillo Pontecorvo,"Antonio Musu, Yacef Saadi",,"Sep 20, 1967  Wide","Oct 19, 2004",$55.9K,2h 5m,"Rialto Pictures, Image Entertainment Inc., Criterion Collection, Rizzoli",Mono,,
