Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
BEGIN AGAIN,81,83,R (Language),"Comedy, Drama, Romance",English,John Carney,"Tobin Armbrust, Anthony Bregman, Judd Apatow",John Carney,"Jul 2, 2014  Wide","Oct 28, 2014",$16.2M,1h 44m,Weinstein Co.,,,
THE CROODS: A NEW AGE,94,77,PG (Peril|Action|Rude Humor),"Kids & Family, Comedy, Adventure, Animation",English,Joel Crawford,Mark Swift,"Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan","Nov 25, 2020  Wide","Dec 17, 2020",$58.5M,1h 35m,Universal Pictures,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),
THE DEATH OF STALIN,78,95,R (Some Sexual References|Language Throughout|Violence),Comedy,English,Armando Iannucci,"Nicolas Duval-Adassovsky, Kevin Loader, Laurent Zeitoun, Yann Zenou","Armando Iannucci, David Schneider, Ian Martin","Mar 9, 2018  Limited","Jun 11, 2018",$8.0M,1h 47m,IFC Films,,Flat (1.85:1),
TRAINSPOTTING,93,90,R (Nudity|Graphic Heroin Use|Sex|Some Violence|Strong Language),"Comedy, Drama",English,Danny Boyle,Andrew Macdonald,John Hodge,"Jul 19, 1996  Wide","Jun 1, 2004",$16.6M,1h 34m,Miramax Films,"Dolby Stereo, Dolby A, Stereo, Surround, Dolby Digital, Dolby SR",Flat (1.85:1),
SURF'S UP,70,79,PG (Some Rude Humor|Mild Language),"Kids & Family, Comedy, Adventure, Animation",English,"Ash Brannon, Chris Buck",Christopher Jenkins,"Don Rhymer, Ash Brannon, Chris Buck, Christopher Jenkins","Jun 8, 2007  Wide","Oct 9, 2007",,1h 25m,,"Dolby SRD, DTS, SDDS",Flat (1.85:1),
FIRST COW,64,96,PG-13 (Brief Strong Language),"Western, Drama",English,Kelly Reichardt,"Neil Kopp, Vincent Savino, Anish Savjani","Jonathan Raymond, Kelly Reichardt","Mar 6, 2020  Limited","Jul 10, 2020",$161.0K,2h 2m,A24,,,
TOTAL RECALL,79,83,R,"Sci-Fi, Action",English,Paul Verhoeven,"Buzz Feitshans, Ronald Shusett","Philip K. Dick, Jon Povill, Gary Goldman","Jun 1, 1990  Original","May 21, 2002",$117.8M,1h 49m,"Artisan Entertainment, Live Video, TriStar Pictures, Image Entertainment Inc.","Surround, Magnetic Stereo 6 Track, Dolby SR, Stereo",35mm,
TRIANGLE,66,80,R (Violence|Language),"Horror, Mystery & Thriller",English,Christopher Smith,"Julie Baines, Chris Brown, Jason Newmark",Christopher Smith,,"Feb 2, 2010",,1h 39m,,,,
GRAN TORINO,90,81,R (Some Violence|Language Throughout),Drama,English,Clint Eastwood,"Clint Eastwood, Robert Lorenz, Bill Gerber",Nick Schenk,"Jan 9, 2009  Wide","Jun 9, 2009",$148.1M,1h 57m,Warner Bros.,,,
SUSPIRIA,83,94,R,"Horror, Mystery & Thriller",Italian,Dario Argento,,"Thomas De Quincey, Dario Argento, Daria Nicolodi","Feb 1, 1977  Original","Sep 25, 2007",,1h 32m,"Anchor Bay Entertainment, Joseph Brenner Associates Inc. [us], Fox Lorber",Dolby,Scope (2.35:1),
THE WRETCHED,47,74,,"Horror, Mystery & Thriller",English,"Brett Pierce, Drew T. Pierce","Ed Polgardy, Chang Tseng","Brett Pierce, Drew T. Pierce","May 1, 2020  Limited","Apr 29, 2020",$1.8M,1h 35m,IFC Midnight,,Scope (2.35:1),
ZATHURA,51,76,PG (Peril|Fantasy Action|Some Language),"Kids & Family, Adventure, Sci-Fi, Fantasy",English,Jon Favreau,"William Teitler, Michael De Luca",David Koepp,"Nov 11, 2005  Wide","Feb 14, 2006",$28.0M,1h 41m,Sony Pictures Entertainment,Surround,,
BLACK MASS,68,73,R (Brutal Violence|Brief Drug Use|Language Throughout|Some Sexual References),"Biography, Crime, Drama",English,Scott Cooper,"John Lesher, Brian Oliver, Scott Cooper, Patrick McCormick, Tyler Thompson","Mark Mallouk, Jez Butterworth","Sep 18, 2015  Wide","Feb 16, 2016",$62.6M,2h 2m,Warner Bros.,Dolby Digital,Scope (2.35:1),
DOWNTON ABBEY,94,84,PG (Some Suggestive Material|Language|Thematic Elements),Drama,English,Michael Engler,"Gareth Neame, Julian Fellowes, Liz Trubridge",Julian Fellowes,"Sep 20, 2019  Wide","Sep 20, 2019",$96.8M,2h 2m,Focus Features,,Scope (2.35:1),
FIRST LOVE,88,98,,"Crime, Drama, Comedy",Japanese,Takashi Miike,"Misako Saka, Jeremy Thomas",Masa Nakamura,"Sep 27, 2019  Limited","Oct 24, 2019",$218.3K,1h 48m,Well Go USA,,,
STRAIGHT OUTTA COMPTON,91,89,R (Language Throughout|Drug Use|Strong Sexuality/Nudity|Violence),"Biography, Drama, Music",English,F. Gary Gray,"Ice Cube, Tomica Woods-Wright, Matt Alvarez, F. Gary Gray, Scott Bernstein, Dr. Dre","Jonathan Herman, Andrea Berloff","Aug 14, 2015  Wide","Jan 19, 2016",$161.0M,2h 27m,Universal Pictures,"SDDS, Datasat, Dolby Digital",Scope (2.35:1),
THE NIGHTINGALE,73,86,R (Rape|Language Throughout|Brief Sexuality|Strong Disturbing Content|Strong Violent Content),"Mystery & Thriller, Adventure, Drama",English,Jennifer Kent,"Kristina Ceyton, Bruna Papandrea, Steve Hutensky, Jennifer Kent",Jennifer Kent,"Aug 2, 2019  Limited","Oct 25, 2019",$400.2K,2h 16m,IFC Films,,Academy (1.33:1),
DAS BOOT,96,98,R,"War, Drama",German,Wolfgang Petersen,"Günter Rohrbach, Ortwin Freyermuth","Lothar G. Buchheim, Wolfgang Petersen, Dean Riesner","Sep 17, 1981  Original","Oct 21, 2003",,2h 30m,"Columbia TriStar Home Video, RCA/Columbia, Columbia Pictures","Dolby Digital, SDDS, Dolby, Surround",1.66:1,
REVENGE,58,93,R (Drug Use|A Rape|Strong Bloody Violence|Graphic Nudity|Language|Sexuality),Mystery & Thriller,English,Coralie Fargeat,"Marc-Etienne Schwartz, Marc Stanimirovic, Jean-Yves Robin",Coralie Fargeat,"May 11, 2018  Limited","May 13, 2018",$99.9K,1h 48m,Neon,,Scope (2.35:1),
THE LAND OF STEADY HABITS,46,83,,"Comedy, Drama",English,Nicole Holofcener,"Stefanie Azpiazu, Anthony Bregman",Nicole Holofcener,"Sep 14, 2018  Limited","Sep 14, 2018",,1h 38m,Netflix,,,
WORDS ON BATHROOM WALLS,94,89,PG-13 (Mental Illness|Mature Thematic Content|Smoking|Some Sexual References|Strong Language),"Romance, Drama",English,Thor Freudenthal,"Mickey Liddell, Pete Shilaimon",Nick Naveda,"Aug 21, 2020  Wide","Nov 8, 2020",$2.5M,1h 51m,"LD Entertainment, Roadside Attractions",,Scope (2.35:1),
JUNO,88,94,PG-13 (Mature Thematic Material|Language|Sexual Content),"Comedy, Drama",English,Jason Reitman,"Lianne Halfon, John Malkovich, Mason Novick, Russell Smith",Diablo Cody,"Dec 25, 2007  Wide","Apr 15, 2008",$143.5M,1h 36m,Fox,"SDDS, Dolby Digital, DTS, Dolby SRD",Flat (1.85:1),
SUNSHINE,73,76,R (Violent Content|Language),Sci-Fi,English,Danny Boyle,Andrew Macdonald,Alex Garland,"Jul 27, 2007  Wide","Jan 8, 2008",$3.7M,1h 47m,Fox,,,
APOSTLE,54,79,,"Horror, Mystery & Thriller",English,Gareth Evans,"Gareth Evans, Ed Talfan, Aram Tertzakian",Gareth Evans,,"Oct 12, 2018",,2h 9m,,,Scope (2.35:1),
A SIMPLE FAVOR,73,84,R (Language Throughout|Drug Use|Sexual Content|Some Graphic Nude Images|Violence),"Mystery & Thriller, Comedy",English,Paul Feig,"Paul Feig, Jessie Henderson",Jessica Sharzer,"Sep 14, 2018  Wide","Dec 18, 2018",$53.5M,1h 57m,Lionsgate Films,,,
THE BOY BEHIND THE DOOR,63,97,,"Horror, Mystery & Thriller",English,"David Charbonier, Justin Powell","Ryan Lewis, John Hermann, Jim Hart, Ryan Scaringe, Rick Rosenthal","David Charbonier, Justin Powell",,"Jul 29, 2021",,1h 28m,,,,
