,title,country,genre,original title,rating,ratingcount,url,year,cluster
0,Feel Your Heartbeat: The Film (2022),Greece,"Documentary, Music",,10,5.0,https://www.imdb.com/title/tt20420778/,2022.0,4
1,The Witcher 3: Wild Hunt - Blood and Wine (2016),Poland,"Action, Adventure, Drama",Wiedzmin 3: Dziki Gon Krew i wino,"9,7",7914.0,https://www.imdb.com/title/tt5667286/,2016.0,4
2,The Witcher 3: Wild Hunt - Hearts of Stone (2015),Poland,"Action, Adventure, Drama",Wiedzmin 3: Dziki Gon - Serca z kamienia,"9,5",6571.0,https://www.imdb.com/title/tt5547960/,2015.0,4
3,Brothers from Malta (2022),Malta,Comedy,,"9,4",37.0,https://www.imdb.com/title/tt10805280/,2022.0,1
4,The Priceless Moments (2021),India,"Documentary, Short",,"9,3",7.0,https://www.imdb.com/title/tt16734266/,2021.0,1
5,Dancing Through the Shadow (2021),Canada,Drama,,"9,2",9.0,https://www.imdb.com/title/tt11584538/,2021.0,2
6,Legend of the Galactic Heroes (1988),Japan,"Animation, Action, Drama",Ginga eiyû densetsu,"9,1",3738.0,https://www.imdb.com/title/tt0096633/,1988.0,4
7,"Carlo Goldoni: Venezia, Gran Teatro del Mondo (2007)",Canada,History,,9,15.0,https://www.imdb.com/title/tt1205585/,2007.0,4
8,Voynata na taralezhite (1979),Bulgaria,Comedy,,9,846.0,https://www.imdb.com/title/tt0247025/,1979.0,4
9,Flames (2018),India,"Comedy, Drama, Romance",,"8,9",30407.0,https://www.imdb.com/title/tt7927936/,2018.0,2
10,The Mystery of the Black Book (2019),Israel,Documentary,Taalumat HaSefer HaShachor,"8,8",6.0,https://www.imdb.com/title/tt11529596/,2019.0,4
11,A tanú (1969),Hungary,"Drama, Comedy",,"8,7",7057.0,https://www.imdb.com/title/tt0065067/,1969.0,4
12,The Big Picture (2007),New Zealand,Documentary,,"8,7",19.0,https://www.imdb.com/title/tt1144977/,2007.0,2
13,"Pretty Village, Pretty Flame (1996)",Australia,"Comedy, Drama, History",Lepa sela lepo gore,"8,6",16693.0,https://www.imdb.com/title/tt0116860/,1996.0,4
14,Yakhanyeongung (2022),South Korea,"Action, Drama",,"8,6",520.0,https://www.imdb.com/title/tt20234568/,2022.0,4
15,The Intouchables (2011),France,"Biography, Comedy, Drama",Intouchables,"8,5",855833.0,https://www.imdb.com/title/tt1675434/,2011.0,5
16,Attack on Titan: Chronicle (2020),Japan,"Animation, Action, Adventure",Shingeki no Kyojin: Chronicle,"8,5",10491.0,https://www.imdb.com/title/tt12415546/,2020.0,4
17,Midnight Diner: Tokyo Stories (2016),Japan,Drama,Shin&apos;ya shokudô: Tokyo Stories,"8,4",4333.0,https://www.imdb.com/title/tt6150576/,2016.0,2
18,Capernaum (2018),Lebanon,Drama,Capharnaüm,"8,4",90097.0,https://www.imdb.com/title/tt8267604/,2018.0,4
19,Flames: The Movie (1997),Philippines,"Drama, Romance",,"8,4",46.0,https://www.imdb.com/title/tt0216753/,1997.0,4
20,Ernest & Rebecca (2019),France,Animation,,"8,3",8.0,https://www.imdb.com/title/tt11312566/,2019.0,4
21,Heartbeat (2021),Pakistan,Romance,,"8,3",10.0,https://www.imdb.com/title/tt21652888/,2021.0,3
22,The Hunt (2012),Denmark,Drama,Jagten,"8,3",330537.0,https://www.imdb.com/title/tt2106476/,2012.0,1
23,Pather Panchali (1955),India,Drama,,"8,3",33464.0,https://www.imdb.com/title/tt0048473/,1955.0,1
24,Incendies (2010),France,"Drama, Mystery",,"8,3",178373.0,https://www.imdb.com/title/tt1255953/,2010.0,1
25,Supercops V/S Supervillains (2012),India,Crime,,"8,3",85.0,https://www.imdb.com/title/tt10235886/,2012.0,4
26,The Lemon Tree (1993),France,"Documentary, Short",,"8,2",14.0,https://www.imdb.com/title/tt0477757/,1993.0,2
27,The Case Is Solved. I Know Everyone Who Tried to Kill Me (2020),Russia,Documentary,"Delo raskryto. Ya znayu vseh, kto pytalsya menya ubit","8,2",1482.0,https://www.imdb.com/title/tt13876280/,2020.0,4
28,Not Knowing Who You Are Is a Beautiful Source of Surprises (2016),Israel,"Comedy, Drama",,"8,2",13.0,https://www.imdb.com/title/tt6219148/,2016.0,4
29,The Passion of Joan of Arc (1928),France,"Biography, Drama, History",La passion de Jeanne d&apos;Arc,"8,2",55437.0,https://www.imdb.com/title/tt0019254/,1928.0,4
30,An Action Hero (2022),India,Action,,"8,2",15142.0,https://www.imdb.com/title/tt15600222/,2022.0,4
31,Rocco and His Brothers (1960),France,"Crime, Drama, Sport",Rocco e i suoi fratelli,"8,2",19412.0,https://www.imdb.com/title/tt0054248/,1960.0,1
32,The Grandmaster of Kungfu (2019),China,Action,,"8,2",17.0,https://www.imdb.com/title/tt15048126/,2019.0,4
33,Black Butler: Book of Circus (2014),Japan,"Animation, Comedy, Fantasy",Kuroshitsuji: Book of Circus,"8,2",1948.0,https://www.imdb.com/title/tt3639888/,2014.0,4
34,Legend of the Blue Sea (2016),South Korea,"Comedy, Drama, Fantasy",Pooreun Badaui Junsul,"8,1",9615.0,https://www.imdb.com/title/tt5766194/,2016.0,4
35,Mobile Suit Zeta Gundam (1985),Japan,"Animation, Action, Drama",Kidô senshi Z Gundam,"8,1",1324.0,https://www.imdb.com/title/tt0159186/,1985.0,4
36,@ in the Mood for Love (2001),Hong Kong,Documentary,,"8,1",98.0,https://www.imdb.com/title/tt16077670/,2001.0,3
37,The War on Drugs (2007),Austria,Documentary,,"8,1",41.0,https://www.imdb.com/title/tt0990452/,2007.0,4
38,Un amour à taire (2005),France,"Drama, Romance, War",,"8,1",3111.0,https://www.imdb.com/title/tt0444518/,2005.0,5
39,Jean Michel Jarre: Oxygene in Moscow (1997),Russia,Documentary,,"8,1",118.0,https://www.imdb.com/title/tt0301469/,1997.0,4
40,Oxygen (2018),India,Drama,,"8,1",146.0,https://www.imdb.com/title/tt8157482/,2018.0,2
41,Path of Exile (2012),New Zealand,"Action, Adventure, Fantasy",,"8,1",617.0,https://www.imdb.com/title/tt2417780/,2012.0,4
42,Tokyo Girl (2016),Japan,Drama,Tôkyô Joshi Zukan,8,729.0,https://www.imdb.com/title/tt7256504/,2016.0,4
43,Perfect Blue (1997),Japan,"Animation, Crime, Drama",Pâfekuto burû,8,77814.0,https://www.imdb.com/title/tt0156887/,1997.0,4
44,The Long Road Home (1989),Canada,"Comedy, Drama",,8,23.0,https://www.imdb.com/title/tt0221358/,1989.0,4
45,Everybody Wants to Help Ernest (1991),Netherlands,Comedy,,8,47.0,https://www.imdb.com/title/tt0176703/,1991.0,4
46,Steamin' and Dreamin': The Grandmaster Cash Story (2009),Ireland,"Comedy, Drama",,8,33.0,https://www.imdb.com/title/tt1545324/,2009.0,5
47,Liebe Amelie (2005),Germany,Drama,,8,45.0,https://www.imdb.com/title/tt0469116/,2005.0,1
48,The Long Road Home (2012),Canada,Drama,,8,10.0,https://www.imdb.com/title/tt2235534/,2012.0,0
49,Infernal Affairs (2002),Hong Kong,"Action, Crime, Drama",Mou gaan dou,8,125445.0,https://www.imdb.com/title/tt0338564/,2002.0,2
50,The Beaches of Agnès (2008),France,"Documentary, Biography",Les plages d&apos;Agnès,8,4237.0,https://www.imdb.com/title/tt1129435/,2008.0,2
51,Black Butler: Book of Murder (2014),Japan,"Animation, Adventure, Crime",,8,1095.0,https://www.imdb.com/title/tt5714216/,2014.0,2
52,Mommy (2014),Belgium,Drama,,8,57627.0,https://www.imdb.com/title/tt3612616/,2014.0,0
53,Girls Hostel (2018),India,"Comedy, Drama",,"7,9",4023.0,https://www.imdb.com/title/tt9401936/,2018.0,4
54,Fearless Whispers (2020),China,"Action, Drama, Romance",Yin mi er wei da,"7,9",56.0,https://www.imdb.com/title/tt13430112/,2020.0,2
55,Athena Ex Nihilo (2013),Greece,Documentary,Athina ek tou midenos,"7,9",13.0,https://www.imdb.com/title/tt2516336/,2013.0,4
56,The Fairy Faith (2000),Canada,Documentary,,"7,9",97.0,https://www.imdb.com/title/tt0276123/,2000.0,4
57,24 Hrs. In the City (2003),Argentina,"Comedy, Thriller",24 hs en la city,"7,9",14.0,https://www.imdb.com/title/tt0390804/,2003.0,2
58,Cléo from 5 to 7 (1962),France,"Comedy, Drama, Music",Cléo de 5 à 7,"7,9",22876.0,https://www.imdb.com/title/tt0055852/,1962.0,4
59,Elevator to the Gallows (1958),France,"Crime, Drama, Thriller",Ascenseur pour l&apos;échafaud,"7,9",26190.0,https://www.imdb.com/title/tt0051378/,1958.0,4
60,Three Colors: Blue (1993),France,"Drama, Music, Mystery",Trois couleurs: Bleu,"7,9",103018.0,https://www.imdb.com/title/tt0108394/,1993.0,0
61,The Arbit Documentation of An Amphibian Hunt: Aavasavyuham (2022),India,Thriller,,"7,9",404.0,https://www.imdb.com/title/tt15939240/,2022.0,2
62,Amour (2012),Germany,Drama,,"7,9",101119.0,https://www.imdb.com/title/tt1602620/,2012.0,3
63,Last Exile (2003),Japan,"Animation, Action, Adventure",,"7,9",3699.0,https://www.imdb.com/title/tt0390733/,2003.0,4
64,Sonic the Hedgehog CD (1993),France,"Animation, Action, Adventure",Sonic CD,"7,9",1000.0,https://www.imdb.com/title/tt0296860/,1993.0,4
65,The Two of Us (2009),Philippines,Drama,Tayong dalawa,"7,9",66.0,https://www.imdb.com/title/tt1389707/,2009.0,1
66,"Ernest and Célestine, The Collection (2017)",France,"Animation, Family","Ernest et Célestine, la collection","7,8",160.0,https://www.imdb.com/title/tt6213220/,2017.0,4
67,Mazinger Z (1972),Japan,"Action, Animation, Sci-Fi",Majingâ Zetto,"7,8",1384.0,https://www.imdb.com/title/tt0169473/,1972.0,4
68,A Year at the Front: Behind the Scenes of 'A Very Long Engagement' (2005),France,Documentary,Une année au front,"7,8",65.0,https://www.imdb.com/title/tt0461412/,2005.0,4
69,The Music According to Antonio Carlos Jobim (2012),Brazil,"Documentary, Biography, Music",A Música Segundo Tom Jobim,"7,8",224.0,https://www.imdb.com/title/tt2399493/,2012.0,1
70,Tokyo Godfathers (2003),Japan,"Animation, Adventure, Comedy",Tôkyô goddofâzâzu,"7,8",41156.0,https://www.imdb.com/title/tt0388473/,2003.0,0
71,The Two of Us (2014),South Africa,Drama,Thina Sobabili: The Two of Us,"7,8",29.0,https://www.imdb.com/title/tt3718188/,2014.0,3
72,Au hasard Balthazar (1966),France,Drama,,"7,8",20644.0,https://www.imdb.com/title/tt0060138/,1966.0,2
73,Shadows of Forgotten Ancestors (1965),Soviet Union,"Drama, Romance",Tini zabutykh predkiv,"7,8",7500.0,https://www.imdb.com/title/tt0058642/,1965.0,3
