certificate;country;description;director;genre;isEpisode;original title;rating;ratingcount;runtime;stars;title;url;year
;Greece;Feel Your Heartbeat: The Film is the first documentary to tackle the deep roots of house music alongside its cultural history and evolution in Greece. From the underground party scene of 1989 to the economic crisis of Greece and t...;Periklis Papandreopoulos;Documentary, Music;false;;10;5;94;Vangelis Mourelatos;Feel Your Heartbeat: The Film (2022);https://www.imdb.com/title/tt20420778/;2022
;Hungary;Geralt rejoins his long-lost lover, Yennefer, in the town of White Orchard. Yennefer tells him that Emperor Emhyr has summoned him to the city of Vizima. Emhyr tasks Geralt with finding Ciri, who has recently been seen in several ...;István Zorkóczy;Short, Action, Adventure;false;;9,8;4154;4;Doug Cockle, Geneviève Doang, Laura Doddington;The Witcher 3: Wild Hunt - A Night to Remember (2015);https://www.imdb.com/title/tt5091902/;2015
;France;A simple date turns into disaster when a secret explodes.;Jérôme Pham Van Bouvier, Thibault Turcas;Short, Comedy;false;;9,7;6;12;Kioko Barral, Anthony Darche, Julia Gratens;Cache coeur (2019);https://www.imdb.com/title/tt11054800/;2019
Germany:18, New Zealand:R16, Singapore:M18, United States:M;Poland;"Geralt is in the southern province of Toussaint where a monstrous serial killer is targeting knights with a dark past. Geralt and his old vampire friend investigate the killer&apos;s motives.";Konrad Tomaszkiewicz;Action, Adventure, Drama;false;Wiedzmin 3: Dziki Gon Krew i wino;9,7;7914;;Doug Cockle, MyAnna Buring, Antonia Bernath;The Witcher 3: Wild Hunt - Blood and Wine (2016);https://www.imdb.com/title/tt5667286/;2016
Singapore:M18, United States:M;Poland;Geralt is forced by a seemingly harmless merchant with sinister powers to complete three difficult tasks for a bored immortal, once a troubled nobleman who made a deal with the devil.;Konrad Tomaszkiewicz;Action, Adventure, Drama;false;Wiedzmin 3: Dziki Gon - Serca z kamienia;9,5;6571;;Doug Cockle, Susannah Fielding, Paul Thornley;The Witcher 3: Wild Hunt - Hearts of Stone (2015);https://www.imdb.com/title/tt5547960/;2015
Australia:PG;Malta;"Denounced Maltese brothers Joe and Charlie must break their 7-year silence when they&apos;re forced to road trip across California with a gassy dog and a precious family heirloom to rescue their dying sister.";Julian Galea;Comedy;false;;9,4;37;;Mike Ferguson, Torrey Richardson, Lily Brown Griffiths;Brothers from Malta (2022);https://www.imdb.com/title/tt10805280/;2022
;India;"A Shot Documentary of Seven best friends Known as 7 looser&apos;s, One day they all Go to Hattu peak(Himachal Pradesh) And take full enjoyment of life and also makes lifelong memories.";Vikrant Gashwa;Documentary, Short;false;;9,3;7;12;Prateek Chauhan, Vikrant Gashwa, Abhishek Kalra;The Priceless Moments (2021);https://www.imdb.com/title/tt16734266/;2021
;Australia;A mother who has lost her young son in a drowning copes with her grief by submerging herself in their backyard swimming pool. Her dangerous obsession is taking its toll on the family and her estranged ways are dampening and destro...;Peter Ireland;Short, Drama, Family;false;;9,2;11;10;Esther Anderson, Andrew Buchanan, Meganne West;Breathless (2010);https://www.imdb.com/title/tt1860189/;2010
;Canada;This is a riveting narrative of the life of Tia Zhang, a young Chinese ballerina who came of age during the reign of Mao Zedong. The story takes place in Beijing, China, and spans over a period of nearly 50 years, blending the mos...;Leif Bristow;Drama;false;;9,2;9;110;Kristina Tonteri-Young, Jonathan Kim, Uni Park;Dancing Through the Shadow (2021);https://www.imdb.com/title/tt11584538/;2021
;Canada;A man grows a moustache and it leads him to unexpected levels of wealth and power. But at what cost?;Michael Schaar-Ney;Short, Comedy;false;;9,2;13;10;Donovan Workun, Skylar Radzion, Michael Schaar-Ney;The Moustache (2017);https://www.imdb.com/title/tt7479164/;2017
Japan:G, Spain:18, United States:TV-MA;Japan;Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations.;;Animation, Action, Drama;false;Ginga eiyû densetsu;9,1;3738;25;Yûsaku Yara, Ryô Horikawa, Katsuji Mori;Legend of the Galactic Heroes (1988);https://www.imdb.com/title/tt0096633/;1988
;Bulgaria;"&apos;The Hedgehogs&apos; are a group of youngsters who are trying to gain control of the empty space between the blocks of flats, which they want to convert into a basketball court. The resistance of the neighbors is soon overcome and the ...";Ivanka Grybcheva;Comedy;false;;9;846;99;Dimitar Ganev, Moris Assa, Yevgeniya Bozhikova;Voynata na taralezhite (1979);https://www.imdb.com/title/tt0247025/;1979
United States:Not Rated;Canada;"In the 1700&apos;s, while the glory of Venice was to the apex of its splendor but to the beginning of its express decline, Carlo Goldoni anticipated the French revolution renewing the European theatre: it removed to the actors the mask...";Alessandro Bettero;History;false;;9;15;72;Alessandro Bressanello, Tiziana Grillo, Flavio Rover;Carlo Goldoni: Venezia, Gran Teatro del Mondo (2007);https://www.imdb.com/title/tt1205585/;2007
India:Not Rated, United States:TV-14;India;A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.;;Comedy, Drama, Romance;false;;8,9;30407;20;Ritvik Sahore, Tanya Maniktala, Sunakshi Grover;Flames (2018);https://www.imdb.com/title/tt7927936/;2018
;Israel;"In October 1947, the &quot;Black Book&quot; was to be published in Moscow - a collection of testimonies and articles about the murder of two million and seven hundred thousand Jews under Nazi occupation in the Soviet Union. The book was she...";Boris Maftsir;Documentary;false;Taalumat HaSefer HaShachor;8,8;6;70;;The Mystery of the Black Book (2019);https://www.imdb.com/title/tt11529596/;2019
Finland:K-8;Hungary;"Banned for over a decade for its outspoken criticism of the post-WWII communist regime in Hungary, Péter Bacsó&apos;s &apos;The Witness&apos; has since then achieved unparalleled cult status in its native land. Known as the best satire about com...";Péter Bacsó;Drama, Comedy;false;;8,7;7057;105;Ferenc Kállai, Lajos Öze, Béla Both;A tanú (1969);https://www.imdb.com/title/tt0065067/;1969
;New Zealand;"&quot;Art is not made for museums - it&apos;s made to be part of people&apos;s lives,&quot; asserts Hamish Keith, iconic arts commentator and presenter of The Big Picture. This series tells the story of New Zealand art from earliest rock drawings to ...";;Documentary;false;;8,7;19;;Hamish Keith;The Big Picture (2007);https://www.imdb.com/title/tt1144977/;2007
Argentina:18, Australia:R, Ireland:18, Norway:18, Sweden:15, United Kingdom:18;Australia;During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.;Srdjan Dragojevic;Comedy, Drama, History;false;Lepa sela lepo gore;8,6;16693;115;Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic;Pretty Village, Pretty Flame (1996);https://www.imdb.com/title/tt0116860/;1996
;Canada;"The story of a boy&apos;s quest to attain manhood through growing a beautiful moustache.";Tristan Orchard;Short, Comedy;false;;8,6;9;15;Aarron Strate;The Moustache Club (2003);https://www.imdb.com/title/tt0424289/;2003
Australia:M, United States:TV-MA;Canada;Interviews with the cast, creators, journalists and celebrity fans.;Amy Segal;;false;;8,6;1511;44;Sarah Levy, Dan Levy, Eugene Levy;Best Wishes, Warmest Regards: A Schitt's Creek Farewell (2020);https://www.imdb.com/title/tt12004838/;2020
Russia:16+;Russia;"A hedgehog shark breaks into a Smurfs fan&apos;s room, wanting a lot of blood.";Sergey A., Oleg Zolotnitskiy;Short, Action, Comedy;false;;8,6;12;7;Sergey A., Ruslan Zakirov-Koloshmat, Oleg Zolotnitskiy;Attack of the blue shark hedgehog (2022);https://www.imdb.com/title/tt19710816/;2022
;South Korea;Yeon Shi-eun is a model student, who ranks at the top at his school. Physically, he appears like a weak boy, but, by using his smarts, tools, and psychology, he fights against violence that takes place inside and outside of his sc...;;Action, Drama;false;;8,6;520;;Ji-Hoon Park, Choi Hyun-wook, Kyung Hong;Yakhanyeongung (2022);https://www.imdb.com/title/tt20234568/;2022
Argentina:13, Australia:M, Austria:6, Brazil:14, Canada:14A, Denmark:7, Egypt:R, Finland:K-12, France:Tous publics, Germany:6, Hong Kong:IIB, Hungary:12, India:UA, Ireland:15A, Israel:ALL, Italy:T, Japan:PG12, Maldives:15+, Mexico:B, Netherlands:12, New Zealand:M, Norway:7, Poland:12, Portugal:M/12, Russia:14+, Russia:16+, Singapore:NC-16, South Africa:16, South Korea:12, Spain:7, Sweden:7, Switzerland:10, Switzerland:10, Taiwan:6+, Thailand:u 15+, Turkey:18+, United Kingdom:15, United States:TV-14, United States:R, United States:TV-PG, United Arab Emirates:PG-15;France;After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.;Olivier Nakache, Éric Toledano;Biography, Comedy, Drama;false;Intouchables;8,5;855833;112;François Cluzet, Omar Sy, Anne Le Ny;The Intouchables (2011);https://www.imdb.com/title/tt1675434/;2011
Japan:G, Singapore:NC16, United Arab Emirates:PG-13;Japan;A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.;Masashi Koizuka, Tetsurô Araki;Animation, Action, Adventure;false;Shingeki no Kyojin: Chronicle;8,5;10491;122;Yûki Kaji, Yui Ishikawa, Marina Inoue;Attack on Titan: Chronicle (2020);https://www.imdb.com/title/tt12415546/;2020
;Canada;Zoe can only see her mom once a year on her birthday. On the day that she turns six, Zoe has some hard questions for her father to answer.;Tricia Lee;Short, Drama, Family;false;;8,4;38;12;Rebecca Chan, Simu Liu, Tina Jung;Meeting Mommy (2017);https://www.imdb.com/title/tt7239800/;2017
;France;"Most delirious vaudeville of the series &quot;Great Mood&quot; as a result of various circumstances, the respectable Seraphin is found without pants in the middle of the street.";Louis Feuillade;Short;false;;8,4;17;34;Georges Biscot, Édouard Mathé, Jeanne Rollette;Séraphin ou les jambes nues (1921);https://www.imdb.com/title/tt0209397/;1921
Argentina:13, Australia:M, Chile:13+, Indonesia:18+, Japan:13+, Netherlands:12, Poland:13, Singapore:PG13, Singapore:NC16, South Korea:15, Thailand:18+, United Kingdom:15, United States:TV-14;Japan;An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.;;Drama;false;"Shin&apos;ya shokudô: Tokyo Stories";8,4;4333;24;Kaoru Kobayashi, Mansaku Fuwa, Asako Kobayashi;Midnight Diner: Tokyo Stories (2016);https://www.imdb.com/title/tt6150576/;2016
