Movie Name;Audience Score;Tomatometer Score;Rating;Genre;Original Language;Director;Producer;Writer;Release Date (Theaters);Release Date (Streaming);Box Office (Gross USA);Runtime;Distributor;Sound Mix;Aspect Ratio;View the collection
RAGING FIRE;100;91;None;Action, Mystery & Thriller, Crime;Chinese;Benny Chan Chi-Shun;Benny Chan Chi-Shun, Donnie Yen;Benny Chan Chi-Shun;2021.08.13;2021.11.23;$368.3K;2h 6m;Well Go USA;;Scope (2.35:1);
LINGUI, THE SACRED BONDS;100;96;None;Drama;French (France);Mahamat-Saleh Haroun;Melanie Andernach;Mahamat-Saleh Haroun;2022.02.04;2022.03.08;$27.5K;1h 27m;MUBI;;;
DEMON SLAYER -KIMETSU NO YAIBA- THE MOVIE: MUGEN TRAIN;99;98;R;Fantasy, Adventure, Action, Anime;Japanese;Haruo Sotozaki;;;2021.04.23;2021.06.22;;1h 57m;Funimation;Dolby Digital;;
JUJUTSU KAISEN 0: THE MOVIE;98;98;PG-13;Fantasy, Action, Adventure, Anime;Japanese;Seong-Hu Park, Sunghoo Park;Keisuke Seshita, Hiroaki Matsutani, Masaya Saito, Yuri Murai, Makoto Kimura, Tatsuya Ōmori, Toshihiro Maeda;Gege Akutami, Hiroshi Seko;2022.03.18;2022.09.21;;1h 45m;Crunchyroll;Dolby Digital;Scope (2.35:1);
THE BEST OF YOUTH;98;94;R;Drama;Italian;Marco Tullio Giordana;Angelo Barbagallo, Donatella Botti;Sandro Petraglia, Stefano Rulli;2003.08.30;2006.02.07;$250.4K;5h 58m;Miramax Films;Dolby SRD;Flat (1.37:1);
CINEMA PARADISO;97;90;PG;Drama;Italian;Giuseppe Tornatore;Mino Barbera, Franco Cristaldi, Giovanna Romagnoli;Giuseppe Tornatore;1988.02.23;2006.01.10;$9.1M;2h 3m;HBO, Miramax Films;;;
IKIRU;97;98;None;Drama, Lgbtq+;Japanese;Akira Kurosawa;Sojiro Motoki;Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni;1956.03.25;2004.01.06;$55.2K;2h 23m;Cowboy Pictures, Brandon Films Inc.;Mono;Academy (1.33:1);
CITY OF GOD;97;91;R;Crime, Drama;Portuguese (Brazil);Fernando Meirelles;Andrea Barata Ribeiro, Mauricio Andrade Ramos;Bráulio Mantovani, Paulo Lins;2003.01.17;2004.06.08;$7.6M;2h 11m;Miramax Films;Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo;;
SEVEN SAMURAI;97;100;None;Action;Japanese;Akira Kurosawa;Sojiro Motoki;Shinobu Hashimoto, Akira Kurosawa, Hideo Oguni;1956.11.19;2006.09.05;$271.7K;3h 28m;Columbia Pictures;Mono;Flat (1.37:1);
DAS BOOT;96;98;R;War, Drama;German;Wolfgang Petersen;Günter Rohrbach, Ortwin Freyermuth;Lothar G. Buchheim, Wolfgang Petersen, Dean Riesner;1981.09.17;2003.10.21;;2h 30m;Columbia TriStar Home Video, RCA/Columbia, Columbia Pictures;Dolby Digital, SDDS, Dolby, Surround;1.66:1;
